SEM,NQUEST,POIDSM,RESCOUR,RESDEP,RESSECT,RESCOMM,RESC,JDEP,MNP,MNP5,MNPMOB,MNPACT,TYPELOG,OCCUPLOG,LOY_HC,LOY_NSP,ALLOC,CHG,CHG_NSP,LOY_PARK,PARK,NBPI,SURF,TELFIX,INTERNET,ANEM,MNEM,CHOIXLOG1,CHOIXLOG2,CHOIXLOG3,ACOMM,NB_VELO,NB_VAE,PARKVELO,NB_VD,TYPEV1,ENERGV1,APMCV1,PUISSV1,ANKMV1,CPTKMV1,POSSV1,STATV1,TYPEV2,ENERGV2,APMCV2,PUISSV2,ANKMV2,CPTKMV2,POSSV2,STATV2,TYPEV3,ENERGV3,APMCV3,PUISSV3,ANKMV3,CPTKMV3,POSSV3,STATV3,TYPEV4,ENERGV4,APMCV4,PUISSV4,ANKMV4,CPTKMV4,POSSV4,STATV4,NB_2RM,NB_VEH,TYPERM1,MOTRM1,ENERM1,APMCRM1,CYLRM1,ANKMRM1,STATRM1,TYPERM2,MOTRM2,ENERM2,APMCRM2,CYLRM2,ANKMRM2,STATRM2,TYPERM3,MOTRM3,ENERM3,APMCRM3,CYLRM3,ANKMRM3,STATRM3,TYPERM4,MOTRM4,ENERM4,APMCRM4,CYLRM4,ANKMRM4,STATRM4,ANCOUT,ASSCOUT,REVENU
200946,75010251,382.96828896,1,75,7501,75103,555532D,3,1,1,1,1,4,6,820,,2,30,,,3,2,31,1,1,2,4,05,09,,86086,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
201047,75010261,371.9339319,1,75,7501,75101,555515C,4,2,2,2,2,4,2,1000,,2,300,,63,,5,100,1,1,15,0,,,,59350,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,2,2007,2,8000,7,,,,,,,,,,,,,,,,,,,,,,1,1,10
201004,75010271,371.9339319,1,75,7501,75103,555645E,2,2,2,2,,4,1,,,,300,,,3,5,150,1,1,25,0,,,,75103,0,,1,2,1,1,2008,4,6000,12000,1,6,1,1,2005,5,8000,60000,1,6,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,10
201014,75010291,382.96828896,1,75,7501,75103,555617A,3,1,1,1,1,4,1,,,,280,,,3,4,70,1,1,37,0,,,,75104,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201017,75010341,371.9339319,1,75,7501,75101,555527F,3,2,2,2,1,5,1,,,,200,,,3,6,95,1,1,23,11,,,,75101,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
201050,75010351,276.46771859,1,75,7501,75104,555647A,1,3,2,2,2,4,6,1000,,2,,1,,3,3,70,1,1,10,,,,,75111,2,0,2,1,1,1,1995,7,5000,100000,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,2,2007,2,7000,4,,,,,,,,,,,,,,,,,,,,,,3,3,8
201045,75010421,371.9339319,1,75,7501,75102,555522B,1,2,2,2,2,4,6,1357,,2,150,,,,2,64,1,1,1,0,03,05,,75108,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
200946,75010441,382.96828896,1,75,7501,75102,555512A,5,1,1,1,1,4,6,1000,,2,200,,150,,1,42,1,1,2,10,03,10,,75101,0,,2,1,1,1,1999,13,10000,100000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9
201052,75010461,578.04811186,1,75,7501,75104,555671A,5,4,4,4,2,4,3,857,,2,60,,150,,2,55,1,1,9,0,,,,75104,0,,1,1,1,1,2003,7,5000,60000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,2,2007,2,3000,5,,,,,,,,,,,,,,,,,,,,,,2,2,7
201021,75010471,382.96828896,1,75,7501,75101,555528I,3,1,1,1,,4,8,,,,150,,,3,4,54,1,1,3,8,08,12,,78481,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201103,75010511,382.96828896,1,75,7501,75103,555533G,5,1,1,1,1,4,2,1000,,2,200,,,3,2,52,1,1,3,2,12,,,75120,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
201045,75010551,382.96828896,1,75,7501,75104,555569A,3,1,1,1,1,5,3,350,,2,40,,,3,1,25,1,1,4,,16,,,75101,0,,1,1,1,1,2000,4,12000,90000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5
201051,75010701,382.96828896,1,75,7501,75102,555523D,1,1,1,1,1,4,8,,,,0,,,3,2,30,1,1,5,6,,,,75102,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201114,75010721,276.46771859,1,75,7501,75103,555533F,5,3,3,3,2,4,2,1350,,2,250,,,3,5,160,1,1,14,0,,,,75103,0,,1,1,1,1,2008,5,10000,37000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,2,2010,2,6000,5,,,,,,,,,,,,,,,,,,,,,,2,3,10
201021,75010731,382.96828896,1,75,7501,75102,555287G,4,1,1,1,1,4,1,,,,70,,,1,2,29,1,1,13,,,,,75116,1,0,2,1,1,3,1989,6,5000,180000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,2,2003,3,6000,3,,,,,,,,,,,,,,,,,,,,,,2,3,5
201108,75010781,371.9339319,1,75,7501,75104,555593B,1,2,2,2,,4,3,400,,2,545,,80,,4,75,1,1,30,,,,,75105,0,,1,2,1,1,2003,4,5000,35000,1,7,1,1,2010,9,5000,500,1,7,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9
201047,75010831,382.96828896,1,75,7501,75101,555537A,3,1,1,1,1,4,1,,,,85,,,3,2,30,1,2,36,,,,,45098,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
201051,75010871,276.46771859,1,75,7501,75103,555644C,2,3,3,3,1,4,8,,,,110,,,3,4,78,1,1,8,,,,,95018,3,0,1,1,1,3,2002,10,16000,122000,1,5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8
201107,75010931,276.46771859,1,75,7501,75101,555527E,5,3,2,2,2,4,6,1000,,2,70,,,3,3,30,1,1,5,,09,12,,75117,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
201052,75010941,371.9339319,1,75,7501,75104,555647A,3,2,2,1,,4,1,,,,200,,,3,4,80,1,1,37,,,,,75103,0,,2,1,1,1,1999,6,2000,120000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10
201021,75010971,382.96828896,1,75,7501,75103,555536A,4,1,1,1,1,4,6,710,,2,90,,,3,2,48,1,2,28,0,,,,75113,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
201107,75011031,382.96828896,1,75,7501,75103,555534I,3,1,1,1,1,4,6,705,,1,45,,,3,1,28,1,1,2,0,04,,,34172,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
200949,75011101,371.9339319,1,75,7501,75102,555513B,2,2,2,2,2,4,1,,,,400,,240,,6,190,1,1,9,0,,,,75101,0,,1,1,1,3,2004,11,7000,39000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10
201102,75011121,371.9339319,1,75,7501,75101,555528H,1,2,2,2,,4,1,,,,120,,,3,3,80,1,1,32,,,,,75101,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
201047,75011201,371.9339319,1,75,7501,75101,555527E,4,2,1,1,1,5,1,,,,250,,,3,2,40,1,1,11,,,,,75102,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
201047,75011211,382.96828896,1,75,7501,75103,555533A,5,1,1,1,1,4,6,750,,2,125,,,3,2,40,1,1,2,8,05,12,,75102,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,2,2009,2,8000,3,,,,,,,,,,,,,,,,,,,,,,2,2,6
201044,75011231,371.9339319,1,75,7501,75103,555536G,5,2,2,2,2,4,6,1100,,2,150,,,3,2,58,1,1,2,,02,,,75104,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
201120,75011251,382.96828896,1,75,7501,75103,555617H,1,1,1,1,1,4,2,1200,,2,,1,,3,4,120,1,1,15,,,,,75114,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
201050,75011261,371.9339319,1,75,7501,75103,555537F,5,2,2,2,2,4,6,1000,,2,100,,,3,2,42,1,1,7,,,,,44109,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
201045,75011281,382.96828896,1,75,7501,75102,555289F,4,1,1,1,,4,1,,,,150,,,3,4,70,1,1,16,,,,,75105,0,,2,1,1,1,2000,4,1000,60000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,8
201105,75011321,382.96828896,1,75,7501,75101,555516F,3,1,1,1,1,4,6,520,,2,,1,,3,2,20,1,1,3,6,04,06,,78305,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
201102,75011331,276.46771859,1,75,7501,75101,555551I,5,3,2,2,2,5,6,1400,,2,100,,,3,3,75,1,1,6,2,,,,99021,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
201105,75011341,371.9339319,1,75,7501,75103,555539F,3,2,2,1,1,5,6,1680,,2,120,,150,,3,60,1,1,1,2,04,06,,75106,0,,1,1,1,1,1999,5,8000,95000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8
201104,75011351,382.96828896,1,75,7501,75102,555523B,1,1,1,1,1,4,6,,1,2,,1,,3,1,20,1,1,4,,05,,,99052,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
201045,75011381,382.96828896,1,75,7501,75104,555561I,2,1,1,1,1,4,6,1600,,2,60,,,3,2,56,1,1,1,6,03,05,,75109,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,2,2007,2,5000,1,,,,,,,,,,,,,,,,,,,,,,1,1,10
201004,75011391,382.96828896,1,75,7501,75103,555538H,2,1,1,1,,4,2,1700,,2,300,,,3,4,90,1,1,0,9,09,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
201048,75011401,382.96828896,1,75,7501,75103,555539A,4,1,1,1,1,4,2,1200,,2,200,,,3,2,60,1,1,11,,,,,75111,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
201051,75011431,382.96828896,1,75,7501,75102,555523D,1,1,1,1,,5,2,230,,2,150,,,3,2,56,1,2,9,0,,,,75101,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
201049,75011471,578.04811186,1,75,7501,75102,555523D,5,4,4,4,2,5,1,,,,300,,,3,4,90,1,1,9,,,,,75103,2,0,1,1,1,1,1998,4,500,90000,1,5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9
201052,75011531,757.14714178,1,75,7501,75103,555642D,4,5,5,5,2,5,3,870,,2,140,,,3,4,135,1,1,2,,16,,,75101,0,,2,1,1,3,1989,7,5000,300000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,4,2,1986,3,8000,4,,,,,,,,,,,,,,,,,,,,,,3,2,6
200951,75011581,276.46771859,1,75,7501,75103,555531I,5,3,2,2,2,4,2,,1,2,220,,230,,5,104,1,1,3,0,05,16,,75115,0,,1,1,1,3,1996,6,15000,120000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10
201103,75011601,382.96828896,1,75,7501,75101,555528B,4,1,1,1,,4,6,730,,2,60,,,3,2,37,1,1,2,,01,12,,75101,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201005,75011631,276.46771859,1,75,7501,75101,555529E,2,3,3,3,1,4,6,1550,,2,180,,,3,3,80,1,1,0,5,04,06,,99014,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
201045,75011641,371.9339319,1,75,7501,75103,555539H,2,2,2,2,2,4,6,750,,2,100,,,3,1,25,1,1,11,,,,,93027,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201044,75011701,382.96828896,1,75,7501,75104,555674B,3,1,1,1,,4,1,,,,210,,,3,3,64,1,1,12,,,,,75111,0,,1,1,1,3,2006,4,25000,70000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8
201104,75011711,382.96828896,1,75,7501,75102,555523E,4,1,1,1,1,4,1,,,,100,,,3,3,54,1,1,10,,,,,75115,2,0,1,1,1,2,2009,,8000,8000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,11
201051,75011721,276.46771859,1,75,7501,75103,555611G,3,3,2,2,2,4,6,2200,,2,100,,200,,4,105,1,1,1,3,12,,,75112,0,,2,1,1,1,1997,6,8000,103000,1,7,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10
201044,75011871,371.9339319,1,75,7501,75104,555569F,1,2,2,1,1,4,1,,,,100,,,3,2,38,1,1,12,,,,,75104,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
201047,75011971,371.9339319,1,75,7501,75104,555567D,4,2,2,2,,4,1,,,,300,,,3,5,140,1,1,24,,,,,95500,1,0,1,1,1,3,2008,5,10000,30000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8
201043,75012021,382.96828896,1,75,7501,75102,555522D,1,1,1,1,1,4,6,750,,2,20,,,3,2,29,1,1,2,6,04,,,60057,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
201052,75012031,382.96828896,1,75,7501,75103,555642D,1,1,1,1,,4,1,,,,,1,,2,3,75,1,1,30,,,,,94052,0,,2,1,1,1,2000,7,8000,99000,1,9,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7
201113,75012041,371.9339319,1,75,7501,75103,555533I,4,2,2,2,2,4,1,,,,150,,,3,4,115,1,1,17,6,,,,75106,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
201102,75012051,382.96828896,1,75,7501,75102,555523D,3,1,1,1,,4,6,650,,2,,1,,3,1,18,1,1,0,7,09,,,75113,0,,2,1,1,1,1996,6,5000,67000,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2
201006,75012071,371.9339319,1,75,7501,75102,555513C,2,2,2,2,1,4,1,,,,175,,,3,5,120,1,1,25,6,,,,75101,1,0,1,1,1,1,1996,6,4000,110000,1,5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7
201102,75012091,382.96828896,1,75,7501,75103,555617H,1,1,1,1,1,4,6,1400,,2,80,,,3,3,70,1,1,4,6,05,,,75115,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
200951,75012101,371.9339319,1,75,7501,75103,555532E,5,2,2,2,2,4,6,600,,2,,1,,3,1,80,1,1,2,,01,03,,91377,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
201050,75012111,276.46771859,1,75,7501,75101,555527I,2,3,3,3,2,4,6,550,,2,75,,,3,2,55,1,1,25,,,,,75113,0,,2,1,1,3,2004,7,12000,166400,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6
201052,75012121,382.96828896,1,75,7501,75102,555522E,2,1,1,1,1,4,6,780,,2,,1,,3,1,25,1,1,3,,05,,,75114,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
201050,75012191,382.96828896,1,75,7501,75103,555644B,1,1,1,1,,4,1,,,,170,,,3,4,100,1,1,23,,,,,75106,0,,1,1,1,2,2000,7,2500,25000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8
201104,75012221,276.46771859,1,75,7501,75103,555535H,4,3,3,3,1,4,1,,,,300,,,3,5,95,1,1,15,,,,,75118,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
201113,75012241,382.96828896,1,75,7501,75101,555513H,2,1,1,1,,4,1,,,,200,,,3,4,70,1,2,57,,,,,75110,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
201045,75012331,371.9339319,1,75,7501,75101,555524D,1,2,2,1,,4,6,1500,,2,250,,,3,3,80,1,1,12,0,,,,75116,2,0,1,1,1,1,2001,9,2000,87000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7
201113,75012341,382.96828896,1,75,7501,75103,555537B,3,1,1,1,,5,1,,,,,1,63,,3,65,1,1,20,,,,,75103,0,,1,1,1,3,2004,4,10000,71000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5
201104,75012391,382.96828896,1,75,7501,75104,555671A,1,1,1,1,1,5,1,,,,,1,,3,4,100,1,1,15,,,,,75104,1,0,1,1,1,1,2001,6,7500,110000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,12
201052,75012411,382.96828896,1,75,7501,75104,555562I,3,1,1,1,1,4,6,550,,2,,1,,3,1,20,1,2,1,,01,08,,75120,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201050,75012431,382.96828896,1,75,7501,75104,555592B,1,1,1,1,,4,1,,,,150,,,3,2,37,1,2,70,,,,,75104,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
201050,75012441,382.96828896,1,75,7501,75103,555645A,3,1,1,1,,4,6,650,,2,50,,,3,1,22,1,1,1,6,07,08,,92004,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201050,75012451,382.96828896,1,75,7501,75102,555531E,5,1,1,1,,4,6,380,,2,,1,,3,1,15,1,1,,8,06,,,93053,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201105,75012611,382.96828896,1,75,7501,75102,555534A,1,1,1,1,1,4,6,800,,2,,1,,3,2,33,1,1,2,,04,06,,92026,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
201107,75012621,382.96828896,1,75,7501,75104,555565F,2,1,1,1,1,4,6,620,,2,28,,,3,1,17,1,1,13,0,,,,75104,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
201114,75012661,382.96828896,1,75,7501,75101,555527E,1,1,1,1,,4,6,445,,2,50,,,3,2,40,1,1,30,,,,,75109,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201107,75012671,382.96828896,1,75,7501,75104,555592D,4,1,1,1,,4,6,400,,2,70,,,3,1,15,1,1,3,3,01,05,,99065,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201105,75012681,382.96828896,1,75,7501,75102,555525B,5,1,1,1,,4,6,700,,1,75,,,3,1,23,1,1,0,8,08,10,,33318,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
